Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@19@20@21
Avg. Estimate@898.17M@937.44M@3.72B@4.41B
Low Estimate@891.3M@917.4M@3.66B@4.03B
High Estimate@905.2M@951.3M@3.77B@4.75B
Year Ago Sales@N/A@N/A@3.27B@3.72B
