Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.9@0.95@3.78@5.38
7 Days Ago@0.89@0.94@3.75@5.31
30 Days Ago@0.98@1.12@4.15@5.79
60 Days Ago@0.99@1.13@4.19@5.86
90 Days Ago@1.03@1.17@4.33@6.02
