Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@22@24
Avg. Estimate@0.9@0.95@3.78@5.38
Low Estimate@0.86@0.85@3.65@4.3
High Estimate@0.92@1.09@3.91@6.26
Year Ago EPS@0.65@0.78@2.79@3.78
