Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.58@0.62@2.66@3.38
7 Days Ago@0.58@0.62@2.66@3.38
30 Days Ago@0.58@0.62@2.66@3.38
60 Days Ago@0.73@0.77@3.2@3.84
90 Days Ago@0.76@0.81@3.36@3.93
