Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@24@24
Avg. Estimate@690.34M@703.39M@2.91B@3.32B
Low Estimate@687.13M@671.59M@2.74B@2.99B
High Estimate@695.41M@731.83M@3.1B@3.73B
Year Ago Sales@847.37M@824.84M@3.16B@2.91B
