Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@20@19
Avg. Estimate@0.58@0.62@2.66@3.38
Low Estimate@0.51@0.47@2.31@2.86
High Estimate@0.72@0.79@3.2@4
Year Ago EPS@0.94@0.89@3.21@2.66
