Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.04@0.69@3.09@6.84
7 Days Ago@-0.03@0.69@2.98@6.88
30 Days Ago@0.25@0.96@3.83@6.92
60 Days Ago@0.87@1.33@6.31@7.65
90 Days Ago@1.6@1.77@6.69@8.67
