Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@16@15
Avg. Estimate@-0.04@0.69@3.09@6.84
Low Estimate@-1.02@-0.57@0.13@5.48
High Estimate@0.57@1.75@5.25@8.68
Year Ago EPS@1.83@1.28@5.53@3.09
