OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@8,214,153@214,165@2.677%@$2,380,051
BLACKROCK INC.@03/31/2020@6,563,848@95,435@1.475%@$1,901,875
EDGEWOOD MANAGEMENT LLC@03/31/2020@4,778,303@80,107@1.705%@$1,384,513
STATE STREET CORP@03/31/2020@3,099,273@860@0.028%@$898,014
POLEN CAPITAL MANAGEMENT LLC@03/31/2020@3,039,006@212,224@7.508%@$880,552
