Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@17@16
Avg. Estimate@311.42M@488.62M@2.08B@2.86B
Low Estimate@77.2M@186.96M@1.24B@2.44B
High Estimate@433.1M@647.8M@2.77B@3.43B
Year Ago Sales@600.7M@607.34M@2.41B@2.08B
