Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.06@-0.26@-1.02@1.12
7 Days Ago@-0.05@-0.26@-0.99@1.28
30 Days Ago@-0.39@-0.28@-1.65@0.8
60 Days Ago@-0.47@-0.39@-1.72@0.62
90 Days Ago@-0.42@-0.35@-1.43@0.88
