Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@23@23
Avg. Estimate@732.17M@780.58M@3.03B@4.12B
Low Estimate@585.86M@628.72M@2.6B@3.29B
High Estimate@926.8M@972.2M@3.62B@5.52B
Year Ago Sales@545.24M@603.03M@2.3B@3.03B
