Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@12@12@19@20
Avg. Estimate@-0.06@-0.26@-1.02@1.12
Low Estimate@-0.46@-1.43@-2.47@-2.44
High Estimate@1.11@0.7@2.44@6.7
Year Ago EPS@0.31@-2.96@-3.71@-1.02
