Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@18@18
Avg. Estimate@0.48@0.58@2.09@2.41
Low Estimate@0.42@0.52@1.98@2.21
High Estimate@0.51@0.62@2.2@2.59
Year Ago EPS@0.53@0.55@2.04@2.09
