Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.48@0.58@2.09@2.41
7 Days Ago@0.48@0.58@2.09@2.41
30 Days Ago@0.56@0.6@2.19@2.45
60 Days Ago@0.58@0.61@2.25@2.48
90 Days Ago@0.6@0.63@2.3@2.52
