Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@22@24@23
Avg. Estimate@0.95@1.01@3.8@4.28
Low Estimate@0.87@0.86@3.64@3.7
High Estimate@1.05@1.16@3.98@4.9
Year Ago EPS@0.74@0.8@3.04@3.8
