Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@24@22
Avg. Estimate@4.17B@4.33B@16.6B@17.76B
Low Estimate@3.95B@3.95B@16.17B@15.83B
High Estimate@4.28B@4.59B@16.9B@19.05B
Year Ago Sales@3.56B@3.75B@14.61B@16.6B
