Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.95@1.01@3.8@4.28
7 Days Ago@0.95@1.02@3.8@4.28
30 Days Ago@0.93@0.94@3.78@4.35
60 Days Ago@0.94@0.95@3.8@4.33
90 Days Ago@1.08@1.1@4.17@4.72
