Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@27@27
Avg. Estimate@0.71@1.1@3.69@5.86
Low Estimate@0.65@0.88@3.46@5.06
High Estimate@0.78@1.37@4@6.63
Year Ago EPS@0.8@0.78@3.54@3.69
