Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@26@28
Avg. Estimate@4.8B@5.75B@20.85B@26.52B
Low Estimate@4.75B@5.19B@20.22B@23.44B
High Estimate@4.9B@6.46B@21.54B@29.04B
Year Ago Sales@4.89B@4.8B@19.4B@20.85B
