Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@12@17@17
Avg. Estimate@1.88B@1.89B@7.7B@7.95B
Low Estimate@1.84B@1.82B@7.51B@7.27B
High Estimate@1.93B@1.95B@7.85B@8.39B
Year Ago Sales@1.98B@2.01B@7.79B@7.7B
