Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.06@0.06@0.23@0.24
7 Days Ago@0.06@0.05@0.22@0.24
30 Days Ago@0.05@0.05@0.22@0.24
60 Days Ago@0.06@0.06@0.23@0.26
90 Days Ago@0.06@0.07@0.25@0.29
