Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@15@17@17
Avg. Estimate@0.06@0.06@0.23@0.24
Low Estimate@0.05@0.05@0.21@0.16
High Estimate@0.07@0.07@0.26@0.31
Year Ago EPS@0.06@0.05@0.2@0.23
