Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@26@26
Avg. Estimate@837.57M@737.51M@2.72B@3.47B
Low Estimate@784M@568.6M@2.56B@2.84B
High Estimate@921.91M@946M@3.05B@5.22B
Year Ago Sales@N/A@N/A@2.99B@2.72B
