Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@25@27@27
Avg. Estimate@1.53@1.08@3.9@5.67
Low Estimate@0.16@0.31@2.99@4.06
High Estimate@2.02@1.8@5.75@9.24
Year Ago EPS@0.27@1.93@5.32@3.9
