ModuleTitle@CompanyName@Symbol@Address@Phone@Industry@Sector@Region@CompanyDescription@KeyExecutives
Company Description@Take-Two Interactive Software, Inc.@TTWO@110 WEST 44TH STREET, NEW YORK, New York, 10036, United States of America@646 536 2842@Computer Software: Prepackaged Software@Technology@North America@"    We are a leading developer, publisher and marketer of interactive
entertainment for consumers around the globe. We develop and publish products
principally through Rockstar Games, 2K, Private Division, and Social Point. Our
products are currently designed for console gaming systems, such as the Sony
Computer Entertainment, Inc. (""Sony"") PlayStation®4 (""PS4""), Microsoft
Corporation (""Microsoft"") Xbox One® (""Xbox One""), and Nintendo's SwitchTM
(""Switch""), and personal computers (""PC""), including smartphones and tablets. We
deliver our products through physical retail, digital download, online
platforms, and cloud streaming services.
    We were incorporated under the laws of the State of Delaware in 1993 and are
headquartered in New York, New York with approximately 5,800 employees globally.
Our website address is www.take2games.com.&nbsp;&nbsp;... <a href=""http://secfilings.nasdaq.com/edgar_conv_html%2f2020%2f05%2f22%2f0001628280-20-008291.html#FIS_BUSINESS"" target=""_blank"">More</a> ...&nbsp;&nbsp;
"@[('Lainie Goldstein', 'Chief Financial Officer'), ('Strauss H. Zelnick', 'Chairman & Chief Executive Officer')]
