Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.53@1.08@3.9@5.67
7 Days Ago@1.5@1.1@3.92@5.65
30 Days Ago@0.5@1.39@4.34@5.84
60 Days Ago@0.45@1.37@4.36@5.82
90 Days Ago@0.45@1.35@4.36@5.65
