Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@18@18
Avg. Estimate@603.75M@623.28M@2.45B@2.83B
Low Estimate@576.2M@590.65M@2.36B@2.69B
High Estimate@700M@773.99M@2.68B@3.16B
Year Ago Sales@497.8M@551.58M@2.16B@2.45B
