Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.99@2.81@12.37@14.85
7 Days Ago@1.98@2.8@12.36@14.81
30 Days Ago@2@2.8@12.32@14.73
60 Days Ago@2.15@3.02@12.67@15.09
90 Days Ago@2.54@3.36@13.54@15.66
