Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@31@30@38@36
Avg. Estimate@1.99@2.81@12.37@14.85
Low Estimate@1.55@2.09@11.62@12.48
High Estimate@2.3@3.41@13.29@16.75
Year Ago EPS@2.18@3.03@11.89@12.37
