Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@28@35@34
Avg. Estimate@51.34B@61.88B@263.31B@296.32B
Low Estimate@42.8B@50.47B@252.81B@261.66B
High Estimate@54.52B@69.86B@273.88B@326.68B
Year Ago Sales@53.81B@64.04B@260.17B@263.31B
