Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@18@18
Avg. Estimate@0.47@0.9@2.96@2.95
Low Estimate@0.38@0.82@2.85@2.82
High Estimate@0.63@0.99@3.03@3.06
Year Ago EPS@0.6@0.92@3.22@2.96
