Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.47@0.9@2.96@2.95
7 Days Ago@0.47@0.9@2.96@2.95
30 Days Ago@0.6@0.93@3.04@2.97
60 Days Ago@0.62@0.95@3.1@2.97
90 Days Ago@0.62@0.95@3.14@3
