ModuleTitle@CompanyName@Symbol@Address@Phone@Industry@Sector@Region@CompanyDescription@KeyExecutives@Number_of_employees@Subsidiaries
Company Description@Exelon Corporation@EXC@PO BOX 805398, CHICAGO, Illinois, 60680-5398, United States of America@3123947399@Power Generation@Public Utilities@North America@"Corporate Structure and Business and Other Information
Exelon, incorporated in Pennsylvania in February 1999, is a utility services
holding company engaged, through Generation, in the energy generation business,
and through ComEd, PECO, BGE, PHI, Pepco, DPL and ACE in the energy delivery
businesses discussed below. Exelon's principal executive offices are located at
10 South Dearborn Street, Chicago, Illinois 60603.&nbsp;&nbsp;... <a href=""http://secfilings.nasdaq.com/edgar_conv_html%2f2019%2f02%2f08%2f0001628280-19-001107.html#FIS_BUSINESS"" target=""_blank"">More</a> ...&nbsp;&nbsp;
"@[('Bridget M. Reidy', 'Executive Vice President-Corporate Operations'), ('Christopher M. Crane', 'President, Chief Executive Officer & Director'), ('Joseph Nigro', 'Chief Financial Officer & Senior Executive VP'), ('Michael R. Koehler', 'Chief Information & Digital Officer, Senior VP')]@[]@['NO INFO']
