Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@7@7@11@11
Avg. Estimate@6.85B@8.52B@31.32B@31.61B
Low Estimate@5.94B@6.76B@24.76B@25.34B
High Estimate@7.6B@10.13B@34.93B@35.46B
Year Ago Sales@7.69B@8.93B@34.44B@31.32B
