Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@22@28@28
Avg. Estimate@2.33@2.46@9.73@11.12
Low Estimate@2@2.25@9.01@10.08
High Estimate@2.43@2.66@10.33@12.31
Year Ago EPS@1.83@2.05@7.87@9.73
