Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@19@26@26
Avg. Estimate@3.16B@3.28B@12.98B@15.02B
Low Estimate@2.97B@3.1B@12.44B@14.33B
High Estimate@3.22B@3.36B@13.3B@15.96B
Year Ago Sales@2.74B@2.83B@11.17B@12.98B
