Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@22@29@29
Avg. Estimate@0.7@0.82@3.36@3.89
Low Estimate@0.51@0.71@3.08@3.45
High Estimate@0.82@0.93@3.62@4.41
Year Ago EPS@0.94@1.08@3.99@3.36
