Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@28@28
Avg. Estimate@3.81B@3.98B@16.16B@16.87B
Low Estimate@3.38B@3.55B@15.06B@15.82B
High Estimate@3.99B@4.15B@17.51B@18.65B
Year Ago Sales@4.14B@4.25B@16.78B@16.16B
