Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.7@0.82@3.36@3.89
7 Days Ago@0.7@0.82@3.36@3.89
30 Days Ago@0.84@0.91@3.71@4.11
60 Days Ago@0.89@0.94@3.83@4.22
90 Days Ago@0.99@1.05@4.07@4.42
