Date@Items@documentLink
2020-05-21@['Item 5.07']@/ix?doc=/Archives/edgar/data/1402057/000119312520150953/d935865d8k.htm
2020-05-06@['Item 2.02', 'Item 8.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000140205720000091/cdw-2020331form8xk.htm
2020-04-16@['Item 1.01', 'Item 2.03', 'Item 8.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000119312520113611/d896371d8k.htm
2020-04-16@['Item 2.02', 'Item 7.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000119312520108753/d911666d8k.htm
2020-02-27@['Item 5.02']@/ix?doc=/Archives/edgar/data/1402057/000119312520100037/d882860d8ka.htm
2020-02-27@['Item 5.02']@/ix?doc=/Archives/edgar/data/1402057/000119312520054428/d849810d8k.htm
2020-02-06@['Item 2.02', 'Item 8.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000140205720000008/cdw-20191231form8xk.htm
2019-12-17@['Item 5.02', 'Item 5.03', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000119312519321925/d853800d8k.htm
2019-10-31@['Item 2.02', 'Item 8.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000117184319007010/f8k_103119.htm
2019-09-26@['Item 1.01', 'Item 2.03', 'Item 2.04', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000119312519256068/d807160d8k.htm
2019-09-12@['Item 1.01', 'Item 8.01', 'Item 9.01']@/ix?doc=/Archives/edgar/data/1402057/000119312519248376/d804799d8k.htm
2019-09-12@['Item 7.01']@/ix?doc=/Archives/edgar/data/1402057/000119312519243400/d804003d8k.htm
2019-07-31@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184319005010/f8k_073019.htm
2019-05-21@['Item 5.07']@/Archives/edgar/data/1402057/000119312519154704/d726019d8k.htm
2019-05-01@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184319002793/f8k_043019.htm
2019-03-08@['Item 5.02', 'Item 9.01']@/Archives/edgar/data/1402057/000119312519070977/d720186d8k.htm
2019-02-07@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184319000786/f8k_020719.htm
2018-12-18@['Item 5.02', 'Item 9.01']@/Archives/edgar/data/1402057/000119312518354562/d677525d8k.htm
2018-10-31@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184318007388/f8k_103018.htm
2018-09-18@['Item 5.02', 'Item 7.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184318006585/f8k_091818.htm
2018-08-02@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184318005650/f8k_080118.htm
2018-05-23@['Item 5.03', 'Item 5.07', 'Item 9.01']@/Archives/edgar/data/1402057/000119312518174300/d594503d8k.htm
2018-05-02@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184318003284/f8k_050118.htm
2018-02-07@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184318000937/f8k_020618.htm
2017-11-01@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184317006461/f8k_103117.htm
2017-10-09@['Item 5.02']@/Archives/edgar/data/1402057/000119312517307609/d342854d8k.htm
2017-09-19@['Item 5.07']@/Archives/edgar/data/1402057/000119312517290922/d653504d8k.htm
2017-08-25@['Item 8.01']@/Archives/edgar/data/1402057/000140205717000120/a8-ksmallbusinessrestateme.htm
2017-08-03@['Item 2.02', 'Item 8.01', 'Item 9.01']@/Archives/edgar/data/1402057/000117184317004648/f8k_080217.htm
