Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@9@9@10@10
Avg. Estimate@4.32B@4.53B@17.66B@18.61B
Low Estimate@4.06B@4.21B@16.64B@17.41B
High Estimate@4.7B@4.85B@18.28B@19.29B
Year Ago Sales@4.63B@4.91B@18.03B@17.66B
