Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@10@10@10@10
Avg. Estimate@1.35@1.45@5.57@6.26
Low Estimate@0.97@1.27@5.06@5.78
High Estimate@1.62@1.58@5.91@6.7
Year Ago EPS@1.6@1.7@6.1@5.57
