Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.35@1.45@5.57@6.26
7 Days Ago@1.35@1.45@5.57@6.26
30 Days Ago@1.32@1.53@5.71@6.5
60 Days Ago@1.53@1.74@6.2@6.94
90 Days Ago@1.73@1.89@6.67@7.34
