OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@17,365,402@219,501@1.28%@$2,227,807
BLACKROCK INC.@03/31/2020@10,300,301@-1,491,424@-12.648%@$1,321,426
STATE STREET CORP@03/31/2020@6,049,374@-47,930@-0.786%@$776,074
WELLINGTON MANAGEMENT GROUP LLP@03/31/2020@5,946,910@38,944@0.659%@$762,929
SELECT EQUITY GROUP, L.P.@03/31/2020@5,895,496@2,316,970@64.746%@$756,333
