Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@8.13@10.61@41.53@54.89
7 Days Ago@8.13@10.61@41.53@54.89
30 Days Ago@8.06@10.61@41.28@54.69
60 Days Ago@10.49@11.98@47.34@57.4
90 Days Ago@13.26@13.99@53.72@62.44
