Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@35@34@38@41
Avg. Estimate@8.13@10.61@41.53@54.89
Low Estimate@4.9@7.63@31.97@41.92
High Estimate@10.32@13.5@49.17@66.56
Year Ago EPS@14.21@10.12@49.16@41.53
