ActivePositions@Holders@Shares
Increased Positions@1,436@13,427,295
Decreased Positions@1,288@14,682,861
Held Positions@280@211,677,800
Total Institutional Shares@3,004@239,787,956
New Positions@158@1,522,666
Sold Out Positions@151@869,757
