Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.25@1.49@5.32@5.88
7 Days Ago@1.25@1.49@5.32@5.88
30 Days Ago@1.25@1.5@5.34@5.89
60 Days Ago@1.59@1.64@5.77@6.22
90 Days Ago@1.63@1.67@5.88@6.33
