Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@11@12@15@15
Avg. Estimate@15.39B@16.75B@66.97B@70.35B
Low Estimate@15.05B@16.03B@64.52B@67.03B
High Estimate@16.16B@17.51B@68.52B@72.82B
Year Ago Sales@16.45B@17.19B@67.16B@66.97B
