Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@15@19@19
Avg. Estimate@1.25@1.49@5.32@5.88
Low Estimate@1.21@1.36@4.98@5.4
High Estimate@1.29@1.57@5.8@6.3
Year Ago EPS@1.54@1.56@5.53@5.32
