|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date|prctChangeOPEN|TargetProbability
2012-01-03|66.86|67.19|66.36|66.4|5348798|USD|0|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.993|0.43010685735451554
2012-01-04|66.41|66.83|66.12|66.74|6043062|USD|1|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|1.003|0.4362632914865486
2012-01-05|66.58|66.67|66.12|66.22|4909019|USD|2|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.995|0.4200511175334743
2012-01-06|66.27|66.27|65.29|65.39|6532905|USD|3|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.985|0.4374621786569468
2012-01-09|65.26|65.83|65.01|65.73|5859512|USD|4|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|1.011|0.45799922823486056
2012-01-10|65.98|66.05|65.47|65.66|4996061|USD|5|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.985|0.44235165387940634
2012-01-11|65.0|65.17|64.13|65.01|10470135|USD|6|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|1.002|0.4612550007522818
2012-01-12|65.1|65.18|64.47|64.62|5745833|USD|7|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.99|0.4584437838801089
2012-01-13|64.44|64.72|64.3|64.4|6678950|USD|8|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|1.005|0.48045697183875696
2012-01-17|64.76|65.09|64.6|64.65|7457568|USD|9|PEP|FY|4067000000.0|358000000.0|4425000000.0|6912000000.0|3827000000.0|2277000000.0|17441000000.0|19698000000.0|16800000000.0|14557000000.0|31357000000.0|0.0|0.0|4386000000.0|55441000000.0|17055000000.0|72882000000.0|11757000000.0|6205000000.0|192000000.0|4995000000.0|1402000000.0|18154000000.0|20568000000.0|0.0|4995000000.0|8266000000.0|33829000000.0|195000000.0|52178000000.0|31000000.0|40316000000.0|-6229000000.0|0.0|20704000000.0|72882000000.0|358000000.0|26773000000.0|22706000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|1434000000.0|860000000.0|-363000000.0|104000000.0|-982000000.0|977000000.0|135000000.0|378000000.0|-713000000.0|0.0|3110000000.0|-1377000000.0|2428000000.0|-560000000.0|0.0|-1414000000.0|-923000000.0|0.0|0.0|-560000000.0|-808000000.0|376000000.0|-992000000.0|-211000000.0|984000000.0|4067000000.0|3083000000.0|3110000000.0|1377000000.0|1733000000.0|2011-12-31|2011-12-31|2012-03-24|PEP|FY|20158000000.0|9731000000.0|10427000000.0|0.5172636174223634|525000000.0|8150000000.0|0.0|0.0|8705000000.0|18436000000.0|272000000.0|860000000.0|3107000000.0|0.1541323544|2247000000.0|0.11146939180500001|61000000.0|1999000000.0|0.0991665839865|597000000.0|1415000000.0|0.0701954558984|0.9|0.89|1576000000.0|1597000000.0|2011-12-31|2011-12-31|2012-03-24|0.999|0.45990791948814047
