Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@7.98@8.18@33@32.58
7 Days Ago@7.98@8.18@33@32.58
30 Days Ago@7.98@8.18@33@32.58
60 Days Ago@8.37@8.28@32.45@32.42
90 Days Ago@8.4@8.28@32.55@32.51
