Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@25@31@31
Avg. Estimate@3.46B@3.51B@13.99B@13.86B
Low Estimate@3.1B@3.32B@13.44B@12.5B
High Estimate@4B@4B@14.46B@15.15B
Year Ago Sales@3.62B@3.6B@14.38B@13.99B
