Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@26@27
Avg. Estimate@6.14@6.94@27.1@31.72
Low Estimate@4.42@5.31@22.74@25.46
High Estimate@7.38@8.32@30.98@39.81
Year Ago EPS@6.02@6.67@24.67@27.1
