Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@15@24@25
Avg. Estimate@1.75B@1.91B@7.65B@8.89B
Low Estimate@1.58B@1.71B@6.92B@7.96B
High Estimate@1.88B@2.13B@8.8B@10.58B
Year Ago Sales@1.93B@2.05B@7.86B@7.65B
