|Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY
0|2012-01-03|39279.19|39472.37|37465.50000000001|39399.96|9626270|USD
1|2012-01-04|39455.76|40127.14|36323.67|39511.21|10239355|USD
2|2012-01-05|39447.21|39823.56|36616.170000000006|36876.02|7024180|USD
3|2012-01-06|36749.85|38798.85|35177.703|35666.94|8100673|USD
4|2012-01-09|35971.07000000001|35979.020000000004|33739.25000000001|33929.65|6968243|USD
5|2012-01-10|35263.83|36836.549|35254.740000000005|36166.67|9903838|USD
6|2012-01-11|36041.659999999996|37975.32|35973.409999999996|36829.61|9374422|USD
7|2012-01-12|36945.4|38697.560000000005|36273.090000000004|37071.67999999999|8468046|USD
8|2012-01-13|36647.72|37497.85799999999|36456.45|37308.99|8502067|USD
9|2012-01-17|37856.01|37983.840000000004|36821.26000000001|37251.6|6939592|USD
10|2012-01-18|37250.62|39486.07000000001|36761.63|38881.67999999999|7913754|USD
11|2012-01-19|39423.4|40116.491|38030.513999999996|39300.32000000001|6767264|USD
12|2012-01-20|38948.98|41243.77|37918.590000000004|40693.159999999996|7689645|USD
13|2012-01-23|44594.7|44604.8|37440.03|41952.21|8289170|USD
14|2012-01-24|41643.88|45500.649999999994|41452.53|44892.299999999996|7892249|USD
15|2012-01-25|44836.82|50797.48|43389.17|49530.48|12634860|USD
16|2012-01-26|50127.409999999996|51217.93|49570.47|50061.81|9822595|USD
17|2012-01-27|50180.23|53524.73|49993.189|52647.17|7159913|USD
18|2012-01-30|52583.28|53554.990000000005|51431.78|52645.3|6783737|USD
19|2012-01-31|52768.39|53917.78|52569.49|52795.59|13156282|USD
20|2012-02-01|53073.53|54834.37|52645.01|54645.18|9164294|USD
21|2012-02-02|54825.55|58019.920000000006|53608.99999999999|57527.16|8986018|USD
22|2012-02-03|59871.74|60854.349|58417.59|60237.61|11522430|USD
23|2012-02-06|59698.33|60848.25|59081.64|60776.14|6502437|USD
24|2012-02-07|60835.79|60844.17|57940.57000000001|59330.6|7888599|USD
25|2012-02-08|59327.56|60780.95|54935.079999999994|57229.07|8863136|USD
26|2012-02-09|57470.09|58022.119999999995|52479.229999999996|54769.05|9536218|USD
27|2012-02-10|53913.43000000001|55302.92|51197.73|51808.01|10000337|USD
28|2012-02-13|53320.100000000006|62931.00000000001|52229.39|61482.09|9052205|USD
29|2012-02-14|61900.29|64189.969999999994|58839.428|63758.46|11396942|USD
30|2012-02-15|65802.44|68568.23|61278.68|62069.59|9214741|USD
31|2012-02-16|61771.149999999994|62516.73|59420.119999999995|60948.189999999995|10053207|USD
32|2012-02-17|61130.93|61140.647|57932.15|59624.59|7217067|USD
33|2012-02-21|60468.12|60566.96|56848.88|58236.335|11775794|USD
34|2012-02-22|58233.6|59244.989|54920.369999999995|57629.29|14814306|USD
35|2012-02-23|57506.78|57794.189999999995|55698.229999999996|56677.810000000005|9066072|USD
36|2012-02-24|56499.259999999995|56871.21|54205.15|54874.60999999999|9626467|USD
37|2012-02-27|54270.450000000004|57947.19000000001|52991.61|56430.61|13636458|USD
38|2012-02-28|56785.659999999996|56798.579999999994|53231.76|54323.58000000001|11822115|USD
39|2012-02-29|55764.28999999999|67534.22|55168.66|60846.60999999999|13184863|USD
40|2012-03-01|63184.88|63198.46|54232.23|55380.869999999995|12301000|USD
41|2012-03-02|54966.47|55394.18|49953.79|49996.60999999999|9094925|USD
42|2012-03-05|50145.68|50160.24|46054.31|46788.29000000001|8613253|USD
43|2012-03-06|45992.07|46180.700000000004|42854.92|43763.225|10814310|USD
44|2012-03-07|44068.97|48813.719999999994|44058.53|47670.76|8254183|USD
45|2012-03-08|47977.899999999994|56211.16|47961.82|55539.99999999999|8578189|USD
46|2012-03-09|56085.33|60190.670000000006|55419.439999999995|56760.869999999995|7964533|USD
47|2012-03-12|56881.7|57253.42|53811.76|55324.189999999995|7294785|USD
48|2012-03-13|56290.31|60212.464|56282.92|59665.469999999994|10131299|USD
49|2012-03-14|60203.38|60690.625|56582.5|57250.9|11235477|USD
50|2012-03-15|57133.59|58104.76|52260.63|53298.69|9252250|USD
51|2012-03-16|53539.4|55891.28999999999|52566.32200000001|54199.63|16857285|USD
52|2012-03-19|54199.689999999995|57037.729999999996|52689.920000000006|53904.240000000005|11321184|USD
53|2012-03-20|53537.979999999996|55408.28|51902.23|54373.94|9015011|USD
54|2012-03-21|54852.479999999996|58400.25|54421.03|56948.56|7488420|USD
55|2012-03-22|56644.82|58751.409999999996|54768.425|56582.15|8546189|USD
56|2012-03-23|56582.10999999999|60436.99999999999|56570.5|58689.24|7866618|USD
57|2012-03-26|59476.7|63152.365|58866.53|62485.60999999999|7686528|USD
58|2012-03-27|62607.560000000005|62799.060000000005|58813.88|59121.810000000005|7952423|USD
59|2012-03-28|61396.469999999994|61403.259999999995|58202.119999999995|59653.82|8510672|USD
60|2012-03-29|58992.83|62182.70999999999|57117.82|59415.060000000005|8186523|USD
61|2012-03-30|59662.01|59669.09|54844.049999999996|55935.270000000004|8204477|USD
62|2012-04-02|56472.17|58229.329999999994|54845.04|56304.3|9650878|USD
