|Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY
0|2012-01-03|363.54999999999995|369.791|356.8599999999999|364.17999999999995|9977733|USD
1|2012-01-04|360.90000000000003|365.4099999999999|354.04699999999997|359.46999999999997|10349133|USD
2|2012-01-05|357.76000000000005|363.43000000000006|352.75000000000006|359.63|12725339|USD
3|2012-01-06|359.59999999999997|364.09000000000003|354.6410000000001|358.691|12280030|USD
4|2012-01-09|359.3400000000001|364.84000000000003|354.09999999999997|359.9100000000001|12560861|USD
5|2012-01-10|364.62999999999994|368.0899999999999|359.06|363.74|9359686|USD
6|2012-01-11|361.33|368.329|357.5199999999999|364.59999999999997|9530365|USD
7|2012-01-12|365.17999999999995|372.66999999999996|361.5|369.98999999999995|10991716|USD
8|2012-01-13|366.31|371.17999999999995|362.37|366.36|9082284|USD
9|2012-01-17|369.77|372.91|361.3|364.29|8839602|USD
10|2012-01-18|364.24000000000007|375.18999999999994|361.78|372.47|13410544|USD
11|2012-01-19|373.4100000000001|377.1799999999999|368.47|373.76|10308022|USD
12|2012-01-20|372.95|379.902|369.46999999999997|375.97|8561468|USD
13|2012-01-23|375.53|379.69200000000006|369.21|374.27000000000004|9191843|USD
14|2012-01-24|372.53000000000003|380.15999999999997|368.16|374.97999999999996|11753083|USD
15|2012-01-25|376.85999999999996|383.2|370.12000000000006|378.9800000000001|11177550|USD
16|2012-01-26|361.76000000000005|366.0|353.53999999999996|358.45|13262455|USD
17|2012-01-27|374.77|380.932|370.29|375.96999999999997|10811175|USD
18|2012-01-30|372.35000000000014|379.2699999999999|369.16|374.72|9003940|USD
19|2012-01-31|359.25|362.07000000000005|350.31999999999994|355.34000000000003|10266897|USD
20|2012-02-01|376.60999999999996|383.48|372.9099999999999|379.48|12405392|USD
21|2012-02-02|379.66|385.59999999999997|376.0300000000001|382.62000000000006|10260971|USD
22|2012-02-03|387.82000000000005|401.13200000000006|384.13|396.13|14666809|USD
23|2012-02-06|393.4700000000001|398.71999999999997|387.75|394.2500000000001|8960079|USD
24|2012-02-07|393.29|399.1|384.98|392.14000000000004|10801324|USD
25|2012-02-08|371.73999999999995|378.0300000000001|365.38|373.57|13454007|USD
26|2012-02-09|392.61000000000007|396.26|385.96999999999997|390.9099999999999|7772366|USD
27|2012-02-10|386.9799999999999|390.9650000000001|381.43000000000006|384.2100000000001|7226407|USD
28|2012-02-13|387.00999999999993|391.0899999999999|380.73999999999995|386.26|8720947|USD
29|2012-02-14|384.6499999999999|387.77000000000004|377.53999999999996|382.39000000000004|9581161|USD
30|2012-02-15|383.98999999999995|388.81899999999996|377.7800000000001|382.23999999999995|13725418|USD
31|2012-02-16|382.34999999999997|393.86000000000007|380.34999999999997|391.08000000000004|9685681|USD
32|2012-02-17|392.24|396.34999999999997|387.69999999999993|392.36|8746086|USD
33|2012-02-21|395.76|402.58000000000004|389.307|392.10999999999996|20512556|USD
34|2012-02-22|392.62|397.1400000000001|387.08|390.51000000000005|12643789|USD
35|2012-02-23|391.6|398.16999999999996|384.84|393.49999999999994|12125289|USD
36|2012-02-24|393.53000000000003|398.539|389.27|393.35|10853003|USD
37|2012-02-27|390.66999999999996|397.58000000000004|384.72|391.48999999999995|12075735|USD
38|2012-02-28|392.06|398.57|384.7869999999999|391.13|12716173|USD
39|2012-02-29|392.99|397.3350000000001|379.34000000000003|382.25|16459731|USD
40|2012-03-01|383.63000000000005|388.95799999999997|375.35999999999996|379.54999999999995|17171437|USD
41|2012-03-02|361.65000000000003|366.33|350.51000000000005|352.72999999999996|12682256|USD
42|2012-03-05|351.9200000000001|360.09999999999997|347.50000000000006|355.53|15543322|USD
43|2012-03-06|369.7899999999999|373.43999999999994|362.3|367.13|13869288|USD
44|2012-03-07|371.33000000000004|376.32|366.328|372.66|20120775|USD
45|2012-03-08|375.24|380.32|370.1039999999999|376.63999999999993|15146397|USD
46|2012-03-09|378.18999999999994|387.02000000000004|371.1599999999999|377.47|12333862|USD
47|2012-03-12|377.37|384.6000000000001|371.93000000000006|378.44|9979053|USD
48|2012-03-13|379.3599999999999|386.4049999999999|373.131|382.33|20414095|USD
49|2012-03-14|376.90000000000003|380.96999999999997|368.86|371.58000000000004|12187509|USD
