Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@14@18@18
Avg. Estimate@1.56B@1.17B@7.41B@7.98B
Low Estimate@1.47B@1.03B@7.31B@7.44B
High Estimate@1.68B@1.23B@7.54B@8.98B
Year Ago Sales@994M@1.17B@6.78B@7.41B
