Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@15@18@21
Avg. Estimate@1.03@0.34@7.09@8.15
Low Estimate@-0.01@0.11@6.05@7.59
High Estimate@1.48@0.55@7.53@8.84
Year Ago EPS@-0.09@0.41@6.75@7.09
