Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.03@0.34@7.09@8.15
7 Days Ago@1.03@0.34@7.09@8.15
30 Days Ago@0.38@0.41@7.38@8.26
60 Days Ago@0.28@0.43@7.45@8.4
90 Days Ago@0.01@0.42@7.57@8.52
