Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@22@22
Avg. Estimate@1.21@1.35@5.47@5.91
Low Estimate@0.72@0.94@4.57@5.46
High Estimate@1.53@1.56@5.9@6.36
Year Ago EPS@1.47@1.43@5.99@5.47
