Firm@To Grade@From Grade@Action
Jefferies@Hold@Buy@down
Deutsche Bank@Buy@@main
SunTrust Robinson Humphrey@Neutral@@main
Citigroup@Buy@@main
Citigroup@Buy@@main
Jefferies@Hold@@main
Macquarie@Outperform@@init
Raymond James@Outperform@Market Perform@up
Macquarie@Outperform@@main
Citigroup@Buy@@main
Credit Suisse@Outperform@Neutral@up
Cowen & Co.@Outperform@Market Perform@up
Barclays@Equal-Weight@@main
Credit Suisse@Outperform@@main
Raymond James@Outperform@Market Perform@up
Evercore ISI Group@Buy@Hold@up
Baird@Outperform@@init
Atlantic Equities@Neutral@@init
Mizuho@Buy@Neutral@up
Barclays@Equal-Weight@@main
Credit Suisse@Outperform@@main
Keefe Bruyette & Woods@Underperform@Market Perform@down
Credit Suisse@Outperform@@main
UBS@Buy@@init
Jefferies@Buy@Hold@up
Raymond James@Market Perform@Outperform@down
Morgan Stanley@Equal-Weight@Overweight@down
Baird@Outperform@@main
Loop Capital@Buy@@main
Leerink Swann@Market Perform@Outperform@down
Citigroup@Buy@@main
Leerink Swann@Market Perform@Market Perform@main
Bank of America@Underweight@Neutral@down
Jefferies@Hold@Buy@down
Baird@Neutral@Outperform@down
Mizuho@Neutral@Buy@down
Evercore ISI Group@In-Line@Outperform@down
Cowen & Co.@Market Perform@Outperform@down
Baird@Neutral@Neutral@main
RBC Capital@Outperform@Outperform@main
JP Morgan@Overweight@Overweight@main
Citigroup@Neutral@Neutral@main
Baird@Neutral@Neutral@main
Barclays@Equal-Weight@Equal-Weight@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Goldman Sachs@Sell@@down
Baird@Neutral@Neutral@main
Baird@Neutral@Neutral@main
UBS@Sell@Sell@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Loop Capital@Hold@Buy@down
UBS@Sell@Sell@main
Barclays@Equal-Weight@Equal-Weight@main
Citigroup@Neutral@Neutral@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Bank of America@Underperform@@main
JP Morgan@Overweight@@main
Morgan Stanley@Equal-Weight@@main
Bank of America@Underperform@@main
JP Morgan@Neutral@Overweight@down
Wells Fargo@Equal-Weight@Overweight@down
SunTrust Robinson Humphrey@Hold@@main
Cowen & Co.@Market Perform@@main
Deutsche Bank@Hold@Sell@up
RBC Capital@Sector Perform@@main
Credit Suisse@Neutral@@main
JP Morgan@Neutral@@main
SunTrust Robinson Humphrey@Hold@@main
UBS@Neutral@Sell@up
Mizuho@Neutral@@main
