Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.21@1.35@5.47@5.91
7 Days Ago@1.21@1.35@5.45@5.92
30 Days Ago@1.23@1.37@5.5@5.93
60 Days Ago@1.19@1.35@5.5@5.95
90 Days Ago@1.52@1.49@5.84@6.03
